原始文件,来源文件夹,原始地区,类型,年份,序号,目标地区/海域,总文章数,写出文章数,政治梗排除文章数,未命中海域文章数,命中关键词,输出文件,状态,原路径
website_js-2016-01.txt,js,js,website,2016,1,xm,84,5,0,38,"厦门, 厦门海域, 大嶝",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/website_xm-2016-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2016-01.txt
website_js-2016-01.txt,js,js,website,2016,1,pr,84,30,0,38,"伶仃洋, 大屿山, 桂山, 港珠澳, 港珠澳大桥, 珠江, 珠江口中华白海豚国家级自然保护区, 珠海, 粤港澳, 香港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/website_pr-2016-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2016-01.txt
website_js-2016-01.txt,js,js,website,2016,1,bb,84,9,0,38,"三娘湾, 北部湾, 广西, 钦州",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/website_bb-2016-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2016-01.txt
website_js-2016-01.txt,js,js,website,2016,1,lz,84,2,0,38,"东海岛, 湛江",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/lz/website_lz-2016-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2016-01.txt
website_js-2022-01.txt,js,js,website,2022,1,xm,50,5,0,20,"厦门, 厦门湾",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/website_xm-2022-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2022-01.txt
website_js-2022-01.txt,js,js,website,2022,1,pr,50,17,0,20,"大湾区, 屯门, 江门, 港珠澳, 港珠澳大桥, 澳门, 珠江, 珠海, 粤港澳, 粤港澳大湾区, 香港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/website_pr-2022-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2022-01.txt
website_js-2022-01.txt,js,js,website,2022,1,bb,50,6,0,20,"三娘湾, 北海, 北部湾, 广西, 钦州",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/website_bb-2022-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2022-01.txt
website_js-2022-01.txt,js,js,website,2022,1,lz,50,2,0,20,"东海岛, 湛江, 雷州, 雷州湾",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/lz/website_lz-2022-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2022-01.txt
forum_js-2025-01.txt,js,js,forum,2025,1,xm,7,1,0,2,"厦门, 金门",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/forum_xm-2025-01.txt,已写出,/Users/gurumakaza/Downloads/js/forum_js-2025-01.txt
forum_js-2025-01.txt,js,js,forum,2025,1,pr,7,2,0,2,"乐融融, 十五运, 喜洋洋, 大屿山, 大湾鸡, 残特, 港珠澳, 港珠澳大桥, 湾鸡, 粤港澳, 香港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/forum_pr-2025-01.txt,已写出,/Users/gurumakaza/Downloads/js/forum_js-2025-01.txt
forum_js-2025-01.txt,js,js,forum,2025,1,bb,7,2,0,2,"北海, 北部湾, 合浦, 涠洲岛",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/forum_bb-2025-01.txt,已写出,/Users/gurumakaza/Downloads/js/forum_js-2025-01.txt
website_js-2014-01.txt,js,js,website,2014,1,xm,24,1,0,8,"厦门, 翔安",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/website_xm-2014-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2014-01.txt
website_js-2014-01.txt,js,js,website,2014,1,pr,24,11,0,8,"屯门, 江门, 珠江, 珠江口中华白海豚国家级自然保护区, 珠海, 香港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/website_pr-2014-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2014-01.txt
website_js-2014-01.txt,js,js,website,2014,1,bb,24,5,0,8,"三娘湾, 北部湾, 广西, 涠洲岛, 钦州, 钦州湾",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/website_bb-2014-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2014-01.txt
website_js-2014-01.txt,js,js,website,2014,1,st,24,1,0,8,南澳,/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/st/website_st-2014-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2014-01.txt
website_js-2018-01.txt,js,js,website,2018,1,xm,200,15,0,63,"厦门, 厦门中华白海豚, 厦门海域",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/website_xm-2018-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2018-01.txt
website_js-2018-01.txt,js,js,website,2018,1,pr,200,96,0,63,"伶仃洋, 前海, 南丫岛, 大屿山, 大湾区, 江门, 深圳湾, 港珠澳, 港珠澳大桥, 澳门, 珠江, 珠江口中华白海豚国家级自然保护区, 珠江口白海豚保护区, 珠海, 粤港澳, 粤港澳大湾区, 香港, 香港国际机场",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/website_pr-2018-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2018-01.txt
website_js-2018-01.txt,js,js,website,2018,1,bb,200,25,0,63,"三娘湾, 北海, 北部湾, 广西, 涠洲岛, 钦州, 防城港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/website_bb-2018-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2018-01.txt
website_js-2018-01.txt,js,js,website,2018,1,st,200,3,0,63,"汕头, 汕头海域, 澄海",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/st/website_st-2018-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2018-01.txt
website_js-2018-01.txt,js,js,website,2018,1,lz,200,3,0,63,"特呈岛, 雷州",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/lz/website_lz-2018-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2018-01.txt
